s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_4@TE0_1@TE0_re,s_4@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_4@TE0_2@TE0_re,s_4@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,s_4@TE0_3@TE0_re,s_4@TE0_3@TE0_im,s_1@TE0_4@TE0_re,s_1@TE0_4@TE0_im,s_2@TE0_4@TE0_re,s_2@TE0_4@TE0_im,s_3@TE0_4@TE0_re,s_3@TE0_4@TE0_im,s_4@TE0_4@TE0_re,s_4@TE0_4@TE0_im,wavelength_μm
0.0011713715753312,-0.0076339792131393,0.0077856097519511,-0.0099383642388685,-0.0628704116026638,0.577039764646598,-0.5724192001644895,-0.1312066765540111,0.0077856097519511,-0.0099383642388685,0.0011713715753312,-0.0076339792131393,-0.5724192001644895,-0.1312066765540111,-0.0628704116026638,0.577039764646598,-0.0628704116026638,0.577039764646598,-0.5724192001644895,-0.1312066765540111,0.0011713715753312,-0.0076339792131393,0.0077856097519511,-0.0099383642388685,-0.5724192001644895,-0.1312066765540111,-0.0628704116026638,0.577039764646598,0.0077856097519511,-0.0099383642388685,0.0011713715753312,-0.0076339792131393,1.5
-0.0010045983391445,-0.0080424314011686,0.0048039852735589,-0.0116581949999339,0.0302551427412106,0.5799070776965081,-0.5861785640985555,-0.0377580157131017,0.0048039852735589,-0.0116581949999339,-0.0010045983391445,-0.0080424314011686,-0.5861785640985555,-0.0377580157131017,0.0302551427412106,0.5799070776965081,0.0302551427412106,0.5799070776965081,-0.5861785640985555,-0.0377580157131017,-0.0010045983391445,-0.0080424314011686,0.0048039852735589,-0.0116581949999339,-0.5861785640985555,-0.0377580157131017,0.0302551427412106,0.5799070776965081,0.0048039852735589,-0.0116581949999339,-0.0010045983391445,-0.0080424314011686,1.5001
-0.0032048300990196,-0.0078470446924768,0.001472718475058,-0.012507523297044,0.1226923402691578,0.5678414154554831,-0.5847721640620585,0.0566929997394059,0.001472718475058,-0.012507523297044,-0.0032048300990196,-0.0078470446924768,-0.5847721640620585,0.0566929997394059,0.1226923402691578,0.5678414154554831,0.1226923402691578,0.5678414154554831,-0.5847721640620585,0.0566929997394059,-0.0032048300990196,-0.0078470446924768,0.001472718475058,-0.012507523297044,-0.5847721640620585,0.0566929997394059,0.1226923402691578,0.5678414154554831,0.001472718475058,-0.012507523297044,-0.0032048300990196,-0.0078470446924768,1.5002
-0.0052655514291515,-0.0070649650197576,-0.0019599176913245,-0.0124255562179388,0.212060422985404,0.541128887651896,-0.5682385455204877,0.14969829541749,-0.0019599176913245,-0.0124255562179388,-0.0052655514291515,-0.0070649650197576,-0.5682385455204877,0.14969829541749,0.212060422985404,0.541128887651896,0.212060422985404,0.541128887651896,-0.5682385455204877,0.14969829541749,-0.0052655514291515,-0.0070649650197576,-0.0019599176913245,-0.0124255562179388,-0.5682385455204877,0.14969829541749,0.212060422985404,0.541128887651896,-0.0019599176913245,-0.0124255562179388,-0.0052655514291515,-0.0070649650197576,1.5003
-0.0070340492481023,-0.0057567972777059,-0.0052388595425348,-0.0114207962200068,0.2960491484908777,0.5004340685739297,-0.5370097159106147,0.2388494239156218,-0.0052388595425348,-0.0114207962200068,-0.0070340492481023,-0.0057567972777059,-0.5370097159106147,0.2388494239156218,0.2960491484908777,0.5004340685739297,0.2960491484908777,0.5004340685739297,-0.5370097159106147,0.2388494239156218,-0.0070340492481023,-0.0057567972777059,-0.0052388595425348,-0.0114207962200068,-0.5370097159106147,0.2388494239156218,0.2960491484908777,0.5004340685739297,-0.0052388595425348,-0.0114207962200068,-0.0070340492481023,-0.0057567972777059,1.5004
-0.0083799389321048,-0.004021911023246,-0.0081211930044616,-0.0095701788998587,0.372479362930685,0.4467859940924015,-0.4918989218145263,0.3218406396115036,-0.0081211930044616,-0.0095701788998587,-0.0083799389321048,-0.004021911023246,-0.4918989218145263,0.3218406396115036,0.372479362930685,0.4467859940924015,0.372479362930685,0.4467859940924015,-0.4918989218145263,0.3218406396115036,-0.0083799389321048,-0.004021911023246,-0.0081211930044616,-0.0095701788998587,-0.4918989218145263,0.3218406396115036,0.372479362930685,0.4467859940924015,-0.0081211930044616,-0.0095701788998587,-0.0083799389321048,-0.004021911023246,1.5005
-0.009204722950513,-0.0019908985049936,-0.0103941220337077,-0.0070131425182847,0.4393613016407371,0.3815541265169143,-0.4340783201502207,0.3965288742439211,-0.0103941220337077,-0.0070131425182847,-0.009204722950513,-0.0019908985049936,-0.4340783201502207,0.3965288742439211,0.4393613016407371,0.3815541265169143,0.4393613016407371,0.3815541265169143,-0.4340783201502207,0.3965288742439211,-0.009204722950513,-0.0019908985049936,-0.0103941220337077,-0.0070131425182847,-0.4340783201502207,0.3965288742439211,0.4393613016407371,0.3815541265169143,-0.0103941220337077,-0.0070131425182847,-0.009204722950513,-0.0019908985049936,1.5006
-0.0094489409596864,0.0001842412988351,-0.0118906391248251,-0.0039410898997192,0.4949487869097201,0.3064145366202946,-0.3650473020064014,0.4609889961857538,-0.0118906391248251,-0.0039410898997192,-0.0094489409596864,0.0001842412988351,-0.3650473020064014,0.4609889961857538,0.4949487869097201,0.3064145366202946,0.4949487869097201,0.3064145366202946,-0.3650473020064014,0.4609889961857538,-0.0094489409596864,0.0001842412988351,-0.0118906391248251,-0.0039410898997192,-0.3650473020064014,0.4609889961857538,0.4949487869097201,0.3064145366202946,-0.0118906391248251,-0.0039410898997192,-0.0094489409596864,0.0001842412988351,1.5007
-0.0090963955719584,0.0023414543877426,-0.0125017481223627,-0.0005830416160069,0.537787483460886,0.2233069562438718,-0.2865924819546487,0.5135629305163742,-0.0125017481223627,-0.0005830416160069,-0.0090963955719584,0.0023414543877426,-0.2865924819546487,0.5135629305163742,0.537787483460886,0.2233069562438718,0.537787483460886,0.2233069562438718,-0.2865924819546487,0.5135629305163742,-0.0090963955719584,0.0023414543877426,-0.0125017481223627,-0.0005830416160069,-0.2865924819546487,0.5135629305163742,0.537787483460886,0.2233069562438718,-0.0125017481223627,-0.0005830416160069,-0.0090963955719584,0.0023414543877426,1.5008
-0.0081751569541565,0.0043206718644391,-0.0121843495425587,0.0028114430739834,0.5667554765407254,0.1343837736524275,-0.2007405658025355,0.5529014473724168,-0.0121843495425587,0.0028114430739834,-0.0081751569541565,0.0043206718644391,-0.2007405658025355,0.5529014473724168,0.5667554765407254,0.1343837736524275,0.5667554765407254,0.1343837736524275,-0.2007405658025355,0.5529014473724168,-0.0081751569541565,0.0043206718644391,-0.0121843495425587,0.0028114430739834,-0.2007405658025355,0.5529014473724168,0.5667554765407254,0.1343837736524275,-0.0121843495425587,0.0028114430739834,-0.0081751569541565,0.0043206718644391,1.5009
