wavelength	s1	s2	s3	s4	s5	s6	s7	s8
1.59408	-32.6224	-30.3015	-26.3609	-7.7478	-11.8314	-35.2891	-37.5281	-34.3913
1.59407	-32.2689	-30.6443	-27.4064	-8.63685	-11.1096	-33.4176	-34.8082	-33.3889
1.59407	-32.3063	-31.4942	-28.9668	-9.5245	-10.3206	-30.93	-32.7973	-32.6739
1.59406	-32.7086	-32.8992	-31.0896	-10.3726	-9.46781	-28.848	-31.4276	-32.299
1.59405	-33.4458	-34.9423	-33.5937	-11.1556	-8.57814	-27.327	-30.6133	-32.2932
1.59404	-34.4608	-37.6643	-35.3797	-11.8717	-7.68997	-26.3155	-30.3084	-32.6834
1.59403	-35.6252	-40.5226	-34.904	-12.5468	-6.84186	-25.7321	-30.5091	-33.5023
1.59402	-36.6872	-41.2381	-33.2082	-13.2282	-6.06574	-25.4726	-31.2592	-34.7791
1.59401	-37.3229	-39.4315	-31.7525	-13.9724	-5.385	-25.3681	-32.6744	-36.4783
1.594	-37.3999	-37.5439	-30.9087	-14.8357	-4.81545	-25.141	-35.0163	-38.2629
1.59399	-37.1406	-36.3785	-30.7018	-15.8687	-4.36714	-24.4698	-38.9562	-39.1078
1.59398	-36.8938	-35.9684	-31.1359	-17.1139	-4.04622	-23.2353	-46.9943	-38.2482
1.59397	-36.9145	-36.2856	-32.2756	-18.602	-3.85629	-21.6335	-48.7134	-36.6058
1.59396	-37.3596	-37.3626	-34.3093	-20.337	-3.79942	-19.9521	-40.0648	-35.1486
1.59395	-38.3596	-39.2965	-37.7157	-22.252	-3.87668	-18.3782	-36.1883	-34.182
1.59395	-40.0963	-42.0417	-43.8183	-24.1178	-4.08835	-16.9896	-34.0776	-33.7611
1.59394	-42.9315	-43.915	-47.866	-25.4857	-4.43385	-15.8009	-32.9685	-33.9086
1.59393	-47.773	-41.9294	-40.4418	-26.0011	-4.91125	-14.7957	-32.5458	-34.6873
1.59392	-55.3679	-38.816	-36.3616	-25.8789	-5.51642	-13.9411	-32.5872	-36.256
1.59391	-49.5074	-36.4394	-34.1013	-25.6321	-6.24159	-13.194	-32.791	-39.0065
1.5939	-44.3354	-34.8538	-32.9052	-25.6131	-7.07323	-12.5042	-32.6866	-44.1595
1.59389	-41.522	-33.9195	-32.4938	-25.9898	-7.98951	-11.8203	-31.8746	-60.4154
1.59388	-39.9579	-33.5435	-32.7771	-26.8584	-8.95803	-11.0997	-30.4698	-45.9126
1.59387	-39.2293	-33.6853	-33.7871	-28.3256	-9.93577	-10.3186	-28.9163	-39.7023
1.59386	-39.1564	-34.3513	-35.7062	-30.5796	-10.8746	-9.47859	-27.5373	-36.5091
1.59385	-39.6414	-35.5979	-39.0605	-34.0269	-11.734	-8.60291	-26.4649	-34.6522
1.59384	-40.5707	-37.5502	-45.8442	-39.6727	-12.4982	-7.72686	-25.7252	-33.6421
1.59384	-41.6564	-40.4253	-57.7483	-45.7895	-13.1855	-6.88707	-25.2891	-33.2808
1.59383	-42.2404	-44.3058	-42.4507	-39.6176	-13.8449	-6.11484	-25.0754	-33.4755
1.59382	-41.6875	-46.5766	-37.5582	-35.5672	-14.5407	-5.4338	-24.9241	-34.1616
1.59381	-40.3066	-43.8353	-34.8818	-33.5285	-15.3386	-4.86039	-24.5835	-35.2162
1.5938	-38.8334	-40.8362	-33.3136	-32.6866	-16.2973	-4.40545	-23.8064	-36.2859
1.59379	-37.6569	-38.9094	-32.4819	-32.762	-17.4679	-4.07594	-22.5495	-36.6674
1.59378	-36.8902	-37.8574	-32.2287	-33.721	-18.8932	-3.87628	-21.0057	-35.927
1.59377	-36.5536	-37.4969	-32.486	-35.7497	-20.6035	-3.80939	-19.4138	-34.5705
1.59376	-36.6534	-37.7288	-33.2364	-39.4905	-22.5921	-3.87724	-17.9276	-33.2635
1.59375	-37.2101	-38.5017	-34.4958	-47.5117	-24.7429	-4.08123	-16.6132	-32.3032
1.59374	-38.2748	-39.7643	-36.2931	-48.3407	-26.6855	-4.42218	-15.4846	-31.7581
1.59373	-39.9533	-41.3673	-38.5906	-39.7766	-27.8184	-4.90004	-14.5281	-31.6035
1.59373	-42.4637	-42.8582	-40.9591	-35.8168	-27.9644	-5.51318	-13.7146	-31.7452
1.59372	-46.3053	-43.4762	-42.0855	-33.59	-27.6683	-6.25716	-13.0044	-31.976
1.59371	-52.8339	-43.0539	-41.3367	-32.365	-27.4898	-7.12265	-12.3502	-31.9447
1.5937	-57.5201	-42.333	-40.0678	-31.8758	-27.7018	-8.09253	-11.703	-31.327
1.59369	-50.3178	-41.9714	-39.2323	-32.0252	-28.4292	-9.13833	-11.0206	-30.1551
1.59368	-46.5114	-42.303	-39.0766	-32.8137	-29.7803	-10.2174	-10.2786	-28.7649
1.59367	-44.4394	-43.6158	-39.6891	-34.3376	-31.9343	-11.2749	-9.47638	-27.458
1.59366	-43.2133	-46.5197	-41.2352	-36.8506	-35.2583	-12.2542	-8.63534	-26.3836
1.59365	-42.3543	-53.4112	-44.1672	-40.9648	-40.4117	-13.1181	-7.78965	-25.5841
1.59364	-41.5134	-59.2583	-50.0646	-47.4331	-43.9259	-13.8691	-6.97585	-25.0419
1.59363	-40.4873	-46.8131	-63.006	-45.4337	-39.1563	-14.5534	-6.22581	-24.6914
1.59362	-39.2817	-41.7639	-48.346	-40.0785	-35.5902	-15.245	-5.56405	-24.4105
1.59361	-38.0447	-38.7171	-43.0992	-37.0527	-33.6134	-16.0254	-5.00796	-24.0198
1.59361	-36.9341	-36.7177	-40.2802	-35.3847	-32.6765	-16.9704	-4.56924	-23.3379
1.5936	-36.0555	-35.4253	-38.6712	-34.633	-32.5373	-18.1491	-4.25564	-22.2967
1.59359	-35.4677	-34.6883	-37.8825	-34.6329	-33.1231	-19.6278	-4.07229	-20.9905
1.59358	-35.2059	-34.4382	-37.7645	-35.3668	-34.4851	-21.4745	-4.02283	-19.5881
1.59357	-35.2994	-34.6562	-38.2761	-36.9539	-36.8353	-23.7488	-4.11002	-18.2284
1.59356	-35.785	-35.3642	-39.4418	-39.7531	-40.7151	-26.4255	-4.33617	-16.9891
1.59355	-36.7181	-36.6326	-41.3031	-44.7836	-46.9831	-29.0695	-4.70326	-15.8987
1.59354	-38.1843	-38.6061	-43.6462	-52.108	-46.3393	-30.3894	-5.21269	-14.9552
1.59353	-40.2992	-41.5534	-44.9444	-44.8389	-40.8123	-29.826	-5.86479	-14.1375
1.59352	-43.0906	-45.7584	-43.3725	-39.772	-37.6536	-28.7053	-6.65757	-13.4119
1.59351	-45.6235	-48.6013	-40.7891	-36.9287	-35.9199	-27.9298	-7.58469	-12.7361
1.5935	-45.1163	-45.3073	-38.6674	-35.2651	-35.1285	-27.7102	-8.6321	-12.0661
1.5935	-42.5659	-41.9272	-37.1872	-34.3962	-35.0904	-28.0752	-9.77326	-11.3641
1.59349	-40.3617	-39.8155	-36.2751	-34.1624	-35.7626	-29.0561	-10.9639	-10.6085
1.59348	-38.905	-38.6561	-35.8587	-34.5074	-37.2161	-30.7496	-12.1399	-9.79953
1.59347	-38.1279	-38.2429	-35.896	-35.4407	-39.6722	-33.3923	-13.2267	-8.95714
1.59346	-37.966	-38.498	-36.3726	-37.0268	-43.5753	-37.5781	-14.1642	-8.11303
1.59345	-38.416	-39.4421	-37.2968	-39.3513	-48.225	-44.913	-14.9401	-7.30139
1.59344	-39.5547	-41.2117	-38.6891	-42.2127	-45.8456	-46.132	-15.6021	-6.55242
1.59343	-41.5932	-44.1522	-40.5446	-43.7415	-41.6266	-39.676	-16.2383	-5.88977
