Wavelength	TE-through	TE-cross	TM-through	TM-cross
1500	0.93963	9.30937E-4	0.05968	0.83686
1510	0.95528	0.00147	0.04309	0.88938
1520	0.93066	0.00124	0.02636	0.92934
1530	0.95013	0.00225	0.01385	0.96202
1540	0.92032	0.00189	0.00655	0.98045
1550	0.94278	0.00336	0.00174	0.98734
1560	0.90489	0.00269	0.001	0.97799
1570	0.93157	0.0048	0.00414	0.95225
1580	0.88612	0.00358	0.00937	0.91825
1590	0.91436	0.00698	0.01682	0.86929
1600	0.86299	0.00613	0.03012	0.81099
