s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,wavelength_μm
-0.0185050038735074,0.0001494285025148,0.8155731442384595,-0.5622113165428532,0.8155731442384595,-0.5622113165428532,-0.0185050038735074,0.0001494285025148,1.5
-0.0185616371795246,9.602035529670377e-05,0.7912040541017218,-0.5960131326566451,0.7912040541017218,-0.5960131326566451,-0.0185616371795246,9.602035529670377e-05,1.5001
-0.0186223397104092,4.7780056398725655e-05,0.765438506073951,-0.6287556492103862,0.765438506073951,-0.6287556492103862,-0.0186223397104092,4.7780056398725655e-05,1.5002
-0.0186866852650162,4.991910438064764e-06,0.7383226617472545,-0.6603813821538991,0.7383226617472545,-0.6603813821538991,-0.0186866852650162,4.991910438064764e-06,1.5003
-0.0187542280919302,-3.209410738067765e-05,0.7099050390584245,-0.6908348638690548,0.7099050390584245,-0.6908348638690548,-0.0187542280919302,-3.209410738067765e-05,1.5004
-0.0188245056241459,-6.326367977478871e-05,0.6802364239447364,-0.7200627392421066,0.6802364239447364,-0.7200627392421066,-0.0188245056241459,-6.326367977478871e-05,1.5005
-0.0188970413039134,-8.833925927887458e-05,0.6493697781103119,-0.7480138578580255,0.6493697781103119,-0.7480138578580255,-0.0188970413039134,-8.833925927887458e-05,1.5006
-0.018971347480566,-0.0001071809576613,0.6173601430741732,-0.774639362145603,0.6173601430741732,-0.774639362145603,-0.018971347480566,-0.0001071809576613,1.5007
-0.0190469283608426,-0.0001196872080738,0.5842645406907638,-0.7998927713211754,0.5842645406907638,-0.7998927713211754,-0.0190469283608426,-0.0001196872080738,1.5008
-0.0191232829947514,-0.0001257951970389,0.5501418703169831,-0.8237300610077296,0.5501418703169831,-0.8237300610077296,-0.0191232829947514,-0.0001257951970389,1.5009
-0.0191999082836821,-0.0001254810649651,0.5150528028210416,-0.8461097383850065,0.5150528028210416,-0.8461097383850065,-0.0191999082836821,-0.0001254810649651,1.501
-0.0192763019850435,-0.0001187598741377,0.4790596716238032,-0.8669929127663919,0.4790596716238032,-0.8669929127663919,-0.0192763019850435,-0.0001187598741377,1.5011
-0.019351965703121,-0.0001056853460449,0.4422263609832786,-0.8863433614560631,0.4422263609832786,-0.8863433614560631,-0.019351965703121,-0.0001056853460449,1.5012
-0.0194264078418922,-8.634936981447875e-05,0.404618191710919,-0.9041275908219332,0.404618191710919,-0.9041275908219332,-0.0194264078418922,-8.634936981447875e-05,1.5013
-0.0194991465087388,-6.088128618307926e-05,0.3663018045365985,-0.920314892458353,0.3663018045365985,-0.920314892458353,-0.0194991465087388,-6.088128618307926e-05,1.5014
-0.0195697123458824,-2.944695151783413e-05,0.3273450413276975,-0.9348773943742118,0.3273450413276975,-0.9348773943742118,-0.0195697123458824,-2.944695151783413e-05,1.5015
-0.0196376512784921,7.752411133634396e-06,0.2878168243821714,-0.9477901071024528,0.2878168243821714,-0.9477901071024528,-0.0196376512784921,7.752411133634396e-06,1.5016
-0.0197025271585749,5.048156684489159e-05,0.2477870339973416,-0.9590309646952678,0.2477870339973416,-0.9590309646952678,-0.0197025271585749,5.048156684489159e-05,1.5017
-0.019763924293693,9.84728201704274e-05,0.2073263845480676,-0.9685808605135622,0.2073263845480676,-0.9685808605135622,-0.019763924293693,9.84728201704274e-05,1.5018
-0.0198214498426326,0.0001514277533803,0.1665062992778376,-0.9764236777869648,0.1665062992778376,-0.9764236777869648,-0.0198214498426326,0.0001514277533803,1.5019
