s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,wavelength_μm
-0.0004094966734383,-0.0030459896874573,-0.4250620980457999,-0.5445592582764909,-0.4250559716358805,-0.5445653071598067,-0.4244709381806618,-0.5431208996736417,0.0157582833950512,-0.0346208402087646,-0.0159422379786417,0.0326083057701341,-0.4244709381806618,-0.5431208996736417,-0.0159422379786417,0.0326083057701341,0.0157582833950512,-0.0346208402087646,0.73
-0.001237918102038,-0.0032704651522795,-0.5333907853414979,-0.4390369026305978,-0.5333861097569412,-0.4390441133902023,-0.5324928659879635,-0.437754392693412,0.0060673161263816,-0.0379787211752518,-0.0068117508368347,0.0356553427705273,-0.5324928659879635,-0.437754392693412,-0.0068117508368347,0.0356553427705273,0.0060673161263816,-0.0379787211752518,0.7301
-0.002096721510221,-0.0032699753773258,-0.6161468150586702,-0.3125041526733708,-0.616143802818668,-0.3125121842339236,-0.6149802972477911,-0.3114442877062989,-0.004164880957212,-0.0386740319244781,0.0027967697704861,0.0361957508045585,-0.6149802972477911,-0.3114442877062989,0.0027967697704861,0.0361957508045585,-0.004164880957212,-0.0386740319244781,0.7302
-0.0029258313944785,-0.003044624041921,-0.6693875297945706,-0.171034848183403,-0.6693863146071328,-0.1710433225938201,-0.668006215246911,-0.1702556791421879,-0.0142202355949766,-0.0366592137873022,0.012208004700583,0.0341932305370821,-0.668006215246911,-0.1702556791421879,0.012208004700583,0.0341932305370821,-0.0142202355949766,-0.0366592137873022,0.7303
-0.0036674314604428,-0.0026102690082332,-0.690587767928946,-0.0214094528349272,-0.690588398820049,-0.0214179731992984,-0.6890591575356556,-0.0209560229853494,-0.0233939428668973,-0.0320768109787818,0.0207613572866421,0.029790050125212,-0.6890591575356556,-0.0209560229853494,0.0207613572866421,0.029790050125212,-0.0233939428668973,-0.0320768109787818,0.7303999999999999
-0.0042700124713061,-0.0019973259079146,-0.6787578971511662,0.1292105318734562,-0.6787603366151276,0.1292023626775401,-0.6771598304851034,0.129309961964902,-0.0310438311223354,-0.0252491019191142,0.0278572605811191,0.0232967068232053,-0.6771598304851034,0.129309961964902,0.0278572605811191,0.0232967068232053,-0.0310438311223354,-0.0252491019191142,0.7304999999999999
-0.0046919462369736,-0.001248556074691,-0.63448817467996,0.273625533583911,-0.634492300911751,0.273618094288937,-0.6329042354987642,0.2733622211965041,-0.0366351997831982,-0.0166551794111246,0.0329990751847028,0.0151698332118078,-0.6329042354987642,0.2733622211965041,0.0329990751847028,0.0151698332118078,-0.0366351997831982,-0.0166551794111246,0.7306
-0.0049043381950909,-0.0004160046521707,-0.5599175542777731,0.4049418284430934,-0.5599231673540648,0.4049354617548263,-0.5584316564793197,0.4043277957298924,-0.0397780158469937,-0.0068971319752192,0.0358276671138942,0.0059799400875129,-0.5584316564793197,0.4043277957298924,0.0358276671138942,0.0059799400875129,-0.0397780158469937,-0.0068971319752192,0.7307
-0.0048929650572904,0.0004426872122683,-0.4586286688324567,0.5169000053281473,-0.458635500522357,0.5168950020928901,-0.4573194017015974,0.5159675485751123,-0.0402539052239555,0.0033422730721489,0.0361462811955054,-0.0036287139332732,-0.4573194017015974,0.5159675485751123,0.0361462811955054,-0.0036287139332732,-0.0402539052239555,0.0033422730721489,0.7308
-0.0046591709149435,0.0012683308487735,-0.3354742254549148,0.6041723679523888,-0.3354819521723865,0.6041689538608984,-0.3344095999078875,0.6029718332974131,-0.0380310963870028,0.013347427507939,0.0339340115113008,-0.0129833016583907,-0.3344095999078875,0.6029718332974131,0.0339340115113008,-0.0129833016583907,-0.0380310963870028,0.013347427507939,0.7309
-0.004219670024106,0.0020043120270772,-0.1963432927558974,0.6626152050912305,-0.1963515510215383,0.6626135305261216,-0.1955764771406802,0.6612112926231127,-0.0332663163712508,0.0224198954752674,0.0293469681246405,-0.0214294943255425,-0.1955764771406802,0.6612112926231127,0.0293469681246405,-0.0214294943255425,-0.0332663163712508,0.0224198954752674,0.731
-0.0036052817737543,0.0026004978040246,-0.0478787860070647,0.6894640562765165,-0.0478871896739226,0.6894641897567698,-0.0474452614519448,0.6879311235502156,-0.026293545217494,0.0299271193258843,0.02270709405827,-0.0283771370187027,-0.0474452614519448,0.6879311235502156,0.02270709405827,-0.0283771370187027,-0.026293545217494,0.0299271193258843,0.7311
-0.0028586975994486,0.0030166585113768,0.1028402654996518,0.6834628504838721,0.1028321070783116,0.6834647759868773,0.1029239309069604,0.6818798053431935,-0.0176004435034803,0.0353464366287139,0.0144794406865878,-0.033341359665217,0.1029239309069604,0.6818798053431935,0.0144794406865878,-0.033341359665217,-0.0176004435034803,0.0353464366287139,0.7312
-0.0020314456910381,0.0032251725225195,0.2486364581316896,0.6449209666773793,0.2486289218520026,0.6449245849342164,0.2483722714754072,0.6433663460749774,-0.0077941179085349,0.0383013592998081,0.0052395062295613,-0.0359762741013407,0.2483722714754072,0.6433663460749774,0.0052395062295613,-0.0359762741013407,-0.0077941179085349,0.0383013592998081,0.7313
-0.0011802728122268,0.0032128343808285,0.3825756495687271,0.5756957067458011,0.3825690810990501,0.5757008404180326,0.3819825720902408,0.5742434357480776,0.0024413751583477,0.038587606657108,-0.0043670725071832,-0.0360989259511466,0.3819825720902408,0.5742434357480776,-0.0043670725071832,-0.0360989259511466,0.0024413751583477,0.038587606657108,0.7313999999999999
-0.0003631999350112,0.0029816513932701,0.4982962453002931,0.479101220266143,0.4982909431893014,0.4791076227310559,0.4974077199144656,0.4778173600773063,0.0123928178050797,0.0361870974729227,-0.0136696571091401,-0.0337018486655642,0.4974077199144656,0.4778173600773063,-0.0136696571091401,-0.0337018486655642,0.0123928178050797,0.0361870974729227,0.7314999999999999
0.000364472574686,0.0025485851984406,0.5903105271588471,0.3597484088502461,0.5903067292595293,0.3597557761547789,0.5891716352948264,0.3586889784214718,0.0213675752483732,0.0312689439985951,-0.0220194215075326,-0.0289533605081366,0.5891716352948264,0.3586889784214718,-0.0220194215075326,-0.0289533605081366,0.0213675752483732,0.0312689439985951,0.7316
0.0009539347538265,0.0019442680546628,0.6542637897380245,0.223323600637975,0.65426166256337,0.2233315860370938,0.6529284611693091,0.2225333445519246,0.0287418266711589,0.0241773966001498,-0.0288345757719228,-0.0221855996538684,0.6529284611693091,0.2225333445519246,-0.0288345757719228,-0.0221855996538684,0.0287418266711589,0.0241773966001498,0.7317
0.0013661555330412,0.0012107935991771,0.6871390966318912,0.0763166686286548,0.6871387281153953,0.0763248990082433,0.6856676525015419,0.0758284914159997,0.034003919581987,0.0154075985844087,-0.0336408450307577,-0.0138711488962958,0.6856676525015419,0.0758284914159997,-0.0336408450307577,-0.0138711488962958,0.034003919581987,0.0154075985844087,0.7318
0.0015744700401923,0.0003987438794016,0.6873980870018971,-0.0742883661268403,0.6873994829726956,-0.0742802727243167,0.6858552056561347,-0.074453640369376,0.0367898282347235,0.0055708630258692,-0.0361043827439846,-0.0045898995451287,0.6858552056561347,-0.074453640369376,-0.0361043827439846,-0.0045898995451287,0.0367898282347235,0.0055708630258692,0.7319
0.0015662966618733,-0.0004363355199443,0.6550513278960236,-0.2213454652701766,0.6550544124022671,-0.221337881843425,0.6535043346007535,-0.2211793094363338,0.036908253105986,-0.004648083931494,-0.0360548306669157,0.0050115130827884,0.6535043346007535,-0.2211793094363338,-0.0360548306669157,0.0050115130827884,0.036908253105986,-0.004648083931494,0.732
0.0013438763307166,-0.0012377656002002,0.5916550715278261,-0.3578856246885641,0.5916596909611952,-0.3578788980302839,0.5901723142998164,-0.3573921768212412,0.0343536291841833,-0.0145388887522844,-0.0334969329301714,0.0142648520688695,0.5901723142998164,-0.3573921768212412,-0.0334969329301714,0.0142648520688695,0.0343536291841833,-0.0145388887522844,0.7321
0.0009239943664162,-0.0019516051003363,0.5002347778475968,-0.4774467569039952,0.5002407086451447,-0.4774411917070251,0.4988837974381141,-0.4766433381317377,0.0293061637428271,-0.023415033970918,-0.0286099190864566,0.0225268330757786,0.4988837974381141,-0.4766433381317377,-0.0286099190864566,0.0225268330757786,0.0293061637428271,-0.023415033970918,0.7322
0.0003367147107311,-0.0025302990128121,0.38513923363637,-0.5743788028195035,0.3851461931713528,-0.5743746478643273,0.3839844802452968,-0.5732964022458811,0.0221189377098513,-0.0306615201445025,-0.0217347323766087,0.0292238339686617,0.3839844802452968,-0.5732964022458811,-0.0217347323766087,0.0292238339686617,0.0221189377098513,-0.0306615201445025,0.7323
-0.0003767771295346,-0.0029358591182097,0.2518323745951577,-0.6441096985393625,0.2518400347236419,-0.6441071355875752,0.2509323570872843,-0.6427931060025626,0.0132930124103055,-0.0357774447044201,-0.0133500323292179,0.0338916446796229,0.2509323570872843,-0.6427931060025626,-0.0133500323292179,0.0338916446796229,0.0132930124103055,-0.0357774447044201,0.7323999999999999
-0.0011670670701023,-0.0031423657395946,0.1066328414891253,-0.683359726788798,0.1066408441005681,-0.6833588626757366,0.1060367848162149,-0.6818669409571178,0.0034423197495581,-0.0384105283271381,-0.0040386835023108,0.0362075031760552,0.1060367848162149,-0.6818669409571178,-0.0040386835023108,0.0362075031760552,0.0034423197495581,-0.0384105283271381,0.7324999999999999
-0.001979938188163,-0.0031376281158261,-0.0435862619054421,-0.6902942688181397,-0.0435782880727092,-0.6902951310848392,-0.0438419750381586,-0.6886948560365014,-0.0067491808217752,-0.0383812174490795,0.0055529010892933,0.0360122165621723,-0.0438419750381586,-0.6886948560365014,0.0055529010892933,0.0360122165621723,-0.0067491808217752,-0.0383812174490795,0.7326
-0.0027600924342683,-0.0029238992265911,-0.1917231053502352,-0.6646079203138161,-0.1917155274197869,-0.6646104565510764,-0.1916182717643112,-0.6629801435681475,-0.0165750700153612,-0.0356947317650952,0.0147597081764252,0.0333208699712259,-0.1916182717643112,-0.6629801435681475,0.0147597081764252,0.0333208699712259,-0.0165750700153612,-0.0356947317650952,0.7327
-0.0034549141599265,-0.0025176055517134,-0.3307829076674011,-0.6075362015599288,-0.3307760716678571,-0.6075402824636558,-0.330316103888799,-0.605962950515652,-0.0253554423272215,-0.0305402733695164,0.0229442290274262,0.0283214281402901,-0.330316103888799,-0.605962950515652,0.0229442290274262,0.0283214281402901,-0.0253554423272215,-0.0305402733695164,0.7328
-0.0040180210553408,-0.0019481187629018,-0.45420787831369,-0.5217945217742723,-0.4542020933378358,-0.5217999477389962,-0.4533978340288373,-0.5203583090753925,-0.0324838902460849,-0.0232775085247051,0.0295405250080248,0.021361377641791,-0.4533978340288373,-0.5203583090753925,0.0295405250080248,0.021361377641791,-0.0324838902460849,-0.0232775085247051,0.7329
-0.0044123647615468,-0.0012556603305991,-0.5561857844130708,-0.411447487697435,-0.5561813086180109,-0.4114539986126035,-0.5550711722668052,-0.4102249821165399,-0.0374692624819865,-0.0144113110709818,0.0340932186821032,0.0129233825283014,-0.5550711722668052,-0.4102249821165399,0.0340932186821032,0.0129233825283014,-0.0374692624819865,-0.0144113110709818,0.733
-0.004612675707189,-0.0004884873189801,-0.6319226647026523,-0.2817149159961022,-0.6319196937844853,-0.2817222037640897,-0.6305601650900988,-0.2807716133216901,-0.0399693391516112,-0.0045565582490367,0.03628874270926,0.003591676345022,-0.6305601650900988,-0.2807716133216901,0.03628874270926,0.003591676345022,-0.0399693391516112,-0.0045565582490367,0.7331
-0.00460709233653,0.0003004454432946,-0.6778669497541149,-0.1387238654667238,-0.6778656084105782,-0.1387315886395588,-0.6763277055510447,-0.1381095225922573,-0.0398141380238176,0.0056045580335724,0.035976725126567,-0.0059884606630625,-0.6763277055510447,-0.1381095225922573,0.035976725126567,-0.0059884606630625,-0.0398141380238176,0.0056045580335724,0.7332
-0.0043978707258694,0.0010571180535352,-0.6918745766368196,0.0107814883131089,-0.6918749133885512,0.0107736884744113,-0.6902393980814666,0.0110361197741189,-0.0370172877764271,0.0153697420255859,0.0331800756617165,-0.0151553290624695,-0.6902393980814666,0.0110361197741189,0.0331800756617165,-0.0151553290624695,-0.0370172877764271,0.0153697420255859,0.7333
-0.0040011328941394,0.0017301261746422,-0.6733074941374938,0.159758371262593,-0.6733094797198783,0.1597508540623164,-0.6716613585271672,0.1596431619098059,-0.0317747269275122,0.0240650691872644,0.0280931162253457,-0.0232764644959984,-0.6716613585271672,0.1596431619098059,0.0280931162253457,-0.0232764644959984,-0.0317747269275122,0.0240650691872644,0.7333999999999999
-0.0034456767737423,0.0022741610626159,-0.6230611083914604,0.3011972682216232,-0.6230646377617103,0.3011903769180983,-0.6214875860274774,0.3007225748027544,-0.0244508553027705,0.0310913939346356,0.0210679173212097,-0.029792182190255,-0.6214875860274774,0.3007225748027544,0.0210679173212097,-0.029792182190255,-0.0244508553027705,0.0310913939346356,0.7334999999999999
-0.0027709335747622,0.0026530552856257,-0.5435195696470263,0.4284514868122782,-0.5435244674832226,0.4284455328902848,-0.5420957806880492,0.4276464161547043,-0.0155531210030561,0.0359655100324811,0.0125898065364238,-0.0342540285522075,-0.5420957806880492,0.4276464161547043,0.0125898065364238,-0.0342540285522075,-0.0155531210030561,0.0359655100324811,0.7336
-0.0020242150377295,0.0028421907635322,-0.4384411917174221,0.5355489507067488,-0.4384472211251891,0.53554419975545,-0.437233766756026,0.5344583920119113,-0.0056968133326628,0.0383532495561067,0.0032437524601685,-0.0363555111735936,-0.437233766756026,0.5344583920119113,0.0032437524601685,-0.0363555111735936,-0.0056968133326628,0.0383532495561067,0.7337
-0.0012574401182536,0.0028301094995375,-0.3127795679484945,0.6174716257318541,-0.3127864419444516,0.6174682855697995,-0.3118418789096189,0.6161525522604729,0.0044375011592177,0.0380922624532134,-0.0063260515264435,-0.0359530106294909,-0.3118418789096189,0.6161525522604729,-0.0063260515264435,-0.0359530106294909,0.0044375011592177,0.0380922624532134,0.7338
-0.0005235649022246,0.00261922161954,-0.1724489487285101,0.6703895440532527,-0.1724563439441543,0.6703877556324233,-0.1718196419687281,0.668907112456828,0.0141509612848161,0.0352029283361711,-0.015460615884699,-0.0330754520635652,-0.1718196419687281,0.668907112456828,-0.015460615884699,-0.0330754520635652,0.0141509612848161,0.0352029283361711,0.7339
0.0001270412368997,0.0022255664841837,-0.0240450360234352,0.6918385598676611,-0.0240526079744283,0.6918383913550258,-0.0237476869327837,0.6902624580449923,0.0227745732655984,0.0298866681316475,-0.0235315347772344,-0.0279220869401586,-0.0237476869327837,0.6902624580449923,-0.0235315347772344,-0.0279220869401586,0.0227745732655984,0.0298866681316475,0.734
0.0006500273243747,0.0016776466337988,0.1254655900174726,0.6808336413267837,0.1254581908190599,0.6808350856108485,0.125422027994295,0.6792349775000011,0.0297152338571405,0.022511790711312,-0.0299841919954456,-0.0208485535625293,0.125422027994295,0.6792349775000011,-0.0299841919954456,-0.0208485535625293,0.0297152338571405,0.022511790711312,0.7341
0.0010100680106964,0.0010144169102216,0.2690727639014934,0.6379125512987662,0.2690658757477478,0.6379155270071477,0.2686930954092422,0.6363613789988506,0.0344964457845922,0.0135878692820349,-0.0343758192181453,-0.0123421930399541,0.2686930954092422,0.6363613789988506,-0.0343758192181453,-0.0123421930399541,0.0344964457845922,0.0135878692820349,0.7342
0.0011832432669917,0.0002825680895777,0.4000513569261105,0.5651080499112447,0.4000452913801531,0.5651124058610347,0.3993531988528238,0.5636714343257535,0.0367909261935269,0.0037304342895321,-0.036405790589083,-0.0029883390877625,0.3993531988528238,0.5636714343257535,-0.036405790589083,-0.0029883390877625,0.0367909261935269,0.0037304342895321,0.7343
0.0011586304004007,-0.000466708076098,0.5122758215493544,0.4658501097980563,0.5122708492946291,0.4658556326415037,0.511288779843897,0.4645905054082896,0.0364428735015688,-0.006381562115679,-0.0359360777425552,0.0065700770889068,0.511288779843897,0.4645905054082896,-0.0359360777425552,0.0065700770889068,0.0364428735015688,-0.006381562115679,0.7343999999999999
0.0009390019911568,-0.0011812505945171,0.600505957549387,0.3448029123430197,0.600502296266835,0.344809337024006,0.5992709581836875,0.3437765709791199,0.033478378792982,-0.0160525582148062,-0.0330004745500243,0.0156768061343943,0.5992709581836875,0.3437765709791199,-0.0330004745500243,0.0156768061343943,0.033478378792982,-0.0160525582148062,0.7344999999999999
0.0005405843267476,-0.0018115160547646,0.6606305940930536,0.2076444358784548,0.6606283989113675,0.2076514583875298,0.6591992279174599,0.2068996083361653,0.0281032937607398,-0.0246182300815724,-0.0278019825797331,0.0237073804575846,0.6591992279174599,0.2068996083361653,-0.0278019825797331,0.0237073804575846,0.0281032937607398,-0.0246182300815724,0.7346
-8.105010857324731e-06,-0.0023139753919007,0.6898578963465727,0.0607991121537887,0.6898572532857533,0.0608064039667624,0.6882915127314255,0.0603739323805799,0.020688739140761,-0.0314910711008658,-0.0206985707166421,0.0301119233417126,0.6882915127314255,0.0603739323805799,-0.0206985707166421,0.0301119233417126,0.020688739140761,-0.0314910711008658,0.7347
-0.0006682589147004,-0.002654088705003,0.6868435423926786,-0.0888638087222759,0.6868444650774709,-0.0888565852101622,0.685211782398503,-0.0889436929514977,0.0117452931282716,-0.0362005704386972,-0.0121783266902875,0.0344527261113019,0.685211782398503,-0.0889436929514977,-0.0121783266902875,0.0344527261113019,0.0117452931282716,-0.0362005704386972,0.7348
-0.0013934830947728,-0.0028086553363583,0.6517509542851554,-0.2343519821538891,0.6517533840495887,-0.2343451579263024,0.6501294649956879,-0.2340757890602023,0.001887677472575,-0.0384252451645843,-0.0028257471478242,0.0364340270234621,0.6501294649956879,-0.2340757890602023,-0.0028257471478242,0.0364340270234621,0.001887677472575,-0.0384252451645843,0.7349
-0.0021330123914609,-0.0027673794082588,0.5862409658644558,-0.3688766886797369,0.5862447752090965,-0.3688705728637018,0.5847081749672963,-0.3682505129527692,-0.0082075947846794,-0.0380143572242203,0.0067184847111222,0.035921976540698,0.5847081749672963,-0.3682505129527692,0.0067184847111222,0.035921976540698,-0.0082075947846794,-0.0380143572242203,0.735
-0.0028352194259504,-0.0025335449734732,0.4933916177475682,-0.4861692766344231,0.493396616954744,-0.4861641424355484,0.4920246420813675,-0.4852172932933868,-0.0178486757451314,-0.0349978687630455,0.015801450127253,0.0329534600114993,0.4920246420813675,-0.4852172932933868,0.015801450127253,0.0329534600114993,-0.0178486757451314,-0.0349978687630455,0.7351
-0.003451174140778,-0.0021237561744254,0.3775520307472692,-0.5807725907931719,0.3775579773138967,-0.5807686632445154,0.3764220008002204,-0.5795370564741326,-0.0263757454580456,-0.0295840049677163,0.0238026515672655,0.0277332207791757,0.3764220008002204,-0.5795370564741326,0.0238026515672655,0.0277332207791757,-0.0263757454580456,-0.0295840049677163,0.7352
-0.0039380095850859,-0.0015667621118614,0.2441373703529475,-0.6482938716987914,0.2441439807722977,-0.6482913177748865,0.2433046267930433,-0.6468336642643039,-0.0332060414492238,-0.0221446448017134,0.0301763228788737,0.0206195297106716,0.2433046267930433,-0.6468336642643039,0.0301763228788737,0.0206195297106716,-0.0332060414492238,-0.0221446448017134,0.7353
