s_1@TE0_1@TE0_re,s_1@TE0_1@TE0_im,s_2@TE0_1@TE0_re,s_2@TE0_1@TE0_im,s_3@TE0_1@TE0_re,s_3@TE0_1@TE0_im,s_4@TE0_1@TE0_re,s_4@TE0_1@TE0_im,s_1@TE0_2@TE0_re,s_1@TE0_2@TE0_im,s_2@TE0_2@TE0_re,s_2@TE0_2@TE0_im,s_3@TE0_2@TE0_re,s_3@TE0_2@TE0_im,s_4@TE0_2@TE0_re,s_4@TE0_2@TE0_im,s_1@TE0_3@TE0_re,s_1@TE0_3@TE0_im,s_2@TE0_3@TE0_re,s_2@TE0_3@TE0_im,s_3@TE0_3@TE0_re,s_3@TE0_3@TE0_im,s_4@TE0_3@TE0_re,s_4@TE0_3@TE0_im,s_1@TE0_4@TE0_re,s_1@TE0_4@TE0_im,s_2@TE0_4@TE0_re,s_2@TE0_4@TE0_im,s_3@TE0_4@TE0_re,s_3@TE0_4@TE0_im,s_4@TE0_4@TE0_re,s_4@TE0_4@TE0_im,wavelength_μm
0.0042449372769369,-0.0072376426129738,0.0060561188546792,-0.0054581682647395,-0.1767255318053588,0.5858906562766899,0.6445657888995815,0.0696230421634666,0.0060561188546792,-0.0054581682647395,0.0042449372769369,-0.0072376426129738,0.6445657888995815,0.0696230421634666,-0.1767255318053588,0.5858906562766899,-0.1767255318053588,0.5858906562766899,0.6445657888995815,0.0696230421634666,0.0042449372769369,-0.0072376426129738,0.0060561188546792,-0.0054581682647395,0.6445657888995815,0.0696230421634666,-0.1767255318053588,0.5858906562766899,0.0060561188546792,-0.0054581682647395,0.0042449372769369,-0.0072376426129738,0.73
-0.0003851385825556,-0.0092720210510211,0.0023011786347687,-0.0078186881778802,0.0421853461307835,0.6106720055944954,0.6275681990397733,-0.1628569259072266,0.0023011786347687,-0.0078186881778802,-0.0003851385825556,-0.0092720210510211,0.6275681990397733,-0.1628569259072266,0.0421853461307835,0.6106720055944954,0.0421853461307835,0.6106720055944954,0.6275681990397733,-0.1628569259072266,-0.0003851385825556,-0.0092720210510211,0.0023011786347687,-0.0078186881778802,0.6275681990397733,-0.1628569259072266,0.0421853461307835,0.6106720055944954,0.0023011786347687,-0.0078186881778802,-0.0003851385825556,-0.0092720210510211,0.7301
-0.0053941356662506,-0.0085821899081562,-0.0021281667311964,-0.0078625581083628,0.2556876228633599,0.5563565074000886,0.5294732015767573,-0.3742465555351448,-0.0021281667311964,-0.0078625581083628,-0.0053941356662506,-0.0085821899081562,0.5294732015767573,-0.3742465555351448,0.2556876228633599,0.5563565074000886,0.2556876228633599,0.5563565074000886,0.5294732015767573,-0.3742465555351448,-0.0053941356662506,-0.0085821899081562,-0.0021281667311964,-0.0078625581083628,0.5294732015767573,-0.3742465555351448,0.2556876228633599,0.5563565074000886,-0.0021281667311964,-0.0078625581083628,-0.0053941356662506,-0.0085821899081562,0.7302
-0.0093008150152651,-0.0053774957817596,-0.0059196467029852,-0.0055840167671867,0.4361520676292038,0.4300007801991032,0.3630248091724165,-0.537257282258303,-0.0059196467029852,-0.0055840167671867,-0.0093008150152651,-0.0053774957817596,0.3630248091724165,-0.537257282258303,0.4361520676292038,0.4300007801991032,0.4361520676292038,0.4300007801991032,0.3630248091724165,-0.537257282258303,-0.0093008150152651,-0.0053774957817596,-0.0059196467029852,-0.0055840167671867,0.3630248091724165,-0.537257282258303,0.4361520676292038,0.4300007801991032,-0.0059196467029852,-0.0055840167671867,-0.0093008150152651,-0.0053774957817596,0.7303
-0.0109556803354807,-0.000610046519071,-0.0079548298222545,-0.0016638897065122,0.5602465982494482,0.2479657945730141,0.1497705485502933,-0.6308960875274839,-0.0079548298222545,-0.0016638897065122,-0.0109556803354807,-0.000610046519071,0.1497705485502933,-0.6308960875274839,0.5602465982494482,0.2479657945730141,0.5602465982494482,0.2479657945730141,0.1497705485502933,-0.6308960875274839,-0.0109556803354807,-0.000610046519071,-0.0079548298222545,-0.0016638897065122,0.1497705485502933,-0.6308960875274839,0.5602465982494482,0.2479657945730141,-0.0079548298222545,-0.0016638897065122,-0.0109556803354807,-0.000610046519071,0.7303999999999999
-0.0098790977158704,0.004310161472286,-0.0076385158527726,0.0027347599377001,0.6119383995184516,0.0337914540894702,-0.0827457925404086,-0.6431550492199494,-0.0076385158527726,0.0027347599377001,-0.0098790977158704,0.004310161472286,-0.0827457925404086,-0.6431550492199494,0.6119383995184516,0.0337914540894702,0.6119383995184516,0.0337914540894702,-0.0827457925404086,-0.6431550492199494,-0.0098790977158704,0.004310161472286,-0.0076385158527726,0.0027347599377001,-0.0827457925404086,-0.6431550492199494,0.6119383995184516,0.0337914540894702,-0.0076385158527726,0.0027347599377001,-0.0098790977158704,0.004310161472286,0.7304999999999999
-0.0063999502919263,0.0079337911536016,-0.0050719946120151,0.0063120973948466,0.5845515222894676,-0.1848461046897587,-0.3045495424933653,-0.5725299802277098,-0.0050719946120151,0.0063120973948466,-0.0063999502919263,0.0079337911536016,-0.3045495424933653,-0.5725299802277098,0.5845515222894676,-0.1848461046897587,0.5845515222894676,-0.1848461046897587,-0.3045495424933653,-0.5725299802277098,-0.0063999502919263,0.0079337911536016,-0.0050719946120151,0.0063120973948466,-0.3045495424933653,-0.5725299802277098,0.5845515222894676,-0.1848461046897587,-0.0050719946120151,0.0063120973948466,-0.0063999502919263,0.0079337911536016,0.7306
-0.0015550493779224,0.0092003387643476,-0.0010201142524654,0.0080155127163626,0.4816202962314103,-0.3797043261561514,-0.4870952979811616,-0.4281832452174043,-0.0010201142524654,0.0080155127163626,-0.0015550493779224,0.0092003387643476,-0.4870952979811616,-0.4281832452174043,0.4816202962314103,-0.3797043261561514,0.4816202962314103,-0.3797043261561514,-0.4870952979811616,-0.4281832452174043,-0.0015550493779224,0.0092003387643476,-0.0010201142524654,0.0080155127163626,-0.4870952979811616,-0.4281832452174043,0.4816202962314103,-0.3797043261561514,-0.0010201142524654,0.0080155127163626,-0.0015550493779224,0.0092003387643476,0.7307
0.0032199285981588,0.0077497127735624,0.0033169927679782,0.0073489209291671,0.3164302826491902,-0.5256156346450348,-0.6069274642368176,-0.2287400310396352,0.0033169927679782,0.0073489209291671,0.0032199285981588,0.0077497127735624,-0.6069274642368176,-0.2287400310396352,0.3164302826491902,-0.5256156346450348,0.3164302826491902,-0.5256156346450348,-0.6069274642368176,-0.2287400310396352,0.0032199285981588,0.0077497127735624,0.0033169927679782,0.0073489209291671,-0.6069274642368176,-0.2287400310396352,0.3164302826491902,-0.5256156346450348,0.0033169927679782,0.0073489209291671,0.0032199285981588,0.0077497127735624,0.7308
0.0065160066823167,0.0040258381445269,0.0066593548865956,0.0045167347234202,0.1103035314077228,-0.6037344836957671,-0.6486771866235675,0.0001208444536728,0.0066593548865956,0.0045167347234202,0.0065160066823167,0.0040258381445269,-0.6486771866235675,0.0001208444536728,0.1103035314077228,-0.6037344836957671,0.1103035314077228,-0.6037344836957671,-0.6486771866235675,0.0001208444536728,0.0065160066823167,0.0040258381445269,0.0066593548865956,0.0045167347234202,-0.6486771866235675,0.0001208444536728,0.1103035314077228,-0.6037344836957671,0.0066593548865956,0.0045167347234202,0.0065160066823167,0.0040258381445269,0.7309
