Wavelength	S31^2	S41^2
588	0.34187	0.48786
593	0.36674	0.48459
598	0.3912	0.48479
603	0.41449	0.48775
608	0.4358	0.49236
613	0.45441	0.49736
618	0.4697	0.50153
623	0.48126	0.50386
628	0.48898	0.5036
633	0.49305	0.50034
638	0.49394	0.49397
643	0.49237	0.48462
648	0.48923	0.47261
653	0.48545	0.45837
658	0.48194	0.44237
663	0.47946	0.4251
668	0.4786	0.40701
673	0.47968	0.38851
678	0.48281	0.36997
683	0.48785	0.3517
688	0.49446	0.33397
