Wavelength	(S21)^2	(S31)^2
730	0.47996	0.48006
735	0.48234	0.48246
740	0.48448	0.48462
745	0.48639	0.48654
750	0.48807	0.48824
755	0.48954	0.48972
760	0.49077	0.49096
765	0.49178	0.49197
770	0.49256	0.49275
775	0.4931	0.4933
780	0.49342	0.49362
785	0.4935	0.49371
790	0.49333	0.49355
795	0.49293	0.49315
800	0.4923	0.49253
805	0.49147	0.49172
810	0.49048	0.49074
815	0.48933	0.4896
820	0.48804	0.48832
825	0.48663	0.48691
830	0.4851	0.48539
