Wavelength	S31^2	S41^2
730	0.37255	0.48577
735	0.39163	0.48614
740	0.41002	0.4881
745	0.42739	0.49112
750	0.44337	0.49463
755	0.45766	0.49803
760	0.46997	0.5008
765	0.48012	0.50247
770	0.48801	0.50272
775	0.49364	0.50129
780	0.49711	0.49808
785	0.49862	0.49305
790	0.49848	0.48626
795	0.49704	0.47786
800	0.49469	0.468
805	0.49188	0.45688
810	0.489	0.44473
815	0.48645	0.43176
820	0.48457	0.41817
825	0.4836	0.40417
830	0.48375	0.38993
