Wavelength	(S21)^2	(S31)^2
588	0.46514	0.46515
593	0.47028	0.47029
598	0.47495	0.47496
603	0.47915	0.47916
608	0.48286	0.48287
613	0.48605	0.48606
618	0.48868	0.4887
623	0.49074	0.49075
628	0.49222	0.49223
633	0.49316	0.49317
638	0.49357	0.49358
643	0.49348	0.49349
648	0.49293	0.49293
653	0.49193	0.49194
658	0.49054	0.49055
663	0.4888	0.48881
668	0.48677	0.48677
673	0.48448	0.48448
678	0.48199	0.482
683	0.47934	0.47934
688	0.47656	0.47656
