688	0.9397	1.35507E-5
682.199	0.9446	1.5453E-5
676.495	0.95109	1.76925E-5
670.886	0.95674	2.15848E-5
665.368	0.96069	2.53387E-5
659.941	0.96542	2.68238E-5
654.602	0.9704	2.73238E-5
649.348	0.97366	3.03176E-5
644.178	0.97637	3.32402E-5
639.09	0.97908	3.09882E-5
634.082	0.97998	2.63754E-5
629.151	0.97944	2.50697E-5
624.296	0.97914	2.44669E-5
619.516	0.97828	1.88382E-5
614.809	0.97575	1.1105E-5
610.172	0.97272	6.88973E-6
605.605	0.96999	5.24961E-6
601.105	0.96654	3.4919E-6
596.673	0.96194	1.69624E-6
592.305	0.95719	6.94538E-7
588	0.95248	1.09228E-6
