wavelength	S21	S31
570	0.90538	3.00859E-6
564	0.91777	3.16004E-6
558.125	0.92679	6.08264E-6
552.371	0.93813	7.04684E-6
546.735	0.9459	7.68431E-6
541.212	0.95189	5.59441E-6
535.8	0.95853	3.74525E-6
530.495	0.96112	3.38578E-6
525.294	0.96536	2.51925E-6
520.194	0.96632	2.71553E-6
515.192	0.96609	3.28625E-6
510.286	0.96687	2.38902E-6
505.472	0.96439	1.85478E-6
500.748	0.96474	1.66253E-6
496.111	0.95999	1.83688E-6
491.56	0.95643	3.19452E-6
487.091	0.95379	7.95863E-7
482.703	0.94789	5.43113E-7
478.393	0.94417	3.56476E-6
474.159	0.93377	8.37693E-6
470	0.93113	8.97649E-6
