688	0.89344	1.24961E-5
682.199	0.90274	1.7689E-5
676.495	0.91332	3.28497E-5
670.886	0.92244	2.63768E-5
665.368	0.93081	2.14864E-5
659.941	0.93796	2.5454E-5
654.602	0.94709	3.03764E-5
649.348	0.95034	2.82941E-5
644.178	0.95632	2.52981E-5
639.09	0.95611	1.83012E-5
634.082	0.95982	1.41513E-5
629.151	0.95425	7.32266E-6
624.296	0.95448	1.38774E-6
619.516	0.94578	2.55271E-6
614.809	0.93986	1.84512E-6
610.172	0.92537	2.81395E-6
605.605	0.91591	7.4117E-6
601.105	0.9012	6.36351E-6
596.673	0.88519	6.88092E-6
592.305	0.86656	2.74016E-5
588	0.84907	6.64968E-5
